epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,578.986,1.28294,1.16339,1.40413,0.64305,0.50698,0.54458,0.33605,1.36286,1.13131,1.43622,0.00999555,0.00333185,0.00999555,0.00333185,0.00999555,0.00333185,0.00999555,0.00333185
2,1029.67,1.40992,1.44865,1.53488,0.70182,0.38018,0.43636,0.26123,1.48479,1.37441,1.56376,0.019982,0.00666066,0.019982,0.00666066,0.019982,0.00666066,0.019982,0.00666066
3,1418.02,1.49888,1.6428,1.62814,0.58674,0.33526,0.35994,0.2113,1.56087,1.52153,1.65939,0.0299142,0.0099714,0.0299142,0.0099714,0.0299142,0.0099714,0.0299142,0.0099714
